,City,Lebensmittel,Preis
0,Berlin,Apples,"3,6"
1,Hamburg,Apples,2.69
2,Berlin,Banana,"3,6"
3,Hamburg,Banana,1.74
4,Berlin,Oranges,"3,6"
5,Hamburg,Oranges,2.09
6,Berlin,Tomato,"3,6"
7,Hamburg,Tomato,1.95
8,Berlin,Potato,"3,6"
9,Hamburg,Potato,1.31
10,Cologne,Apples,2.65
11,Frankfurt,Apples,2.62
12,Cologne,Banana,1.59
13,Frankfurt,Banana,1.60
14,Cologne,Oranges,1.94
15,Frankfurt,Oranges,2.27
16,Cologne,Tomato,1.11
17,Frankfurt,Tomato,1.46
18,Cologne,Potato,1.56
19,Frankfurt,Potato,1.71
20,Munich,Apples,2.86
21,Leipzig,Apples,2.28
22,Munich,Banana,1.76
23,Leipzig,Banana,1.61
24,Munich,Oranges,2.42
25,Leipzig,Oranges,1.96
26,Munich,Tomato,2.72
27,Leipzig,Tomato,1.18
28,Munich,Potato,2.09
29,Leipzig,Potato,1.30
